# native-membership.tsv — the platform's implemented surface (upstream boundary program, batch 5).
# Membership is OURS; the signature text is generated from the pinned checkouts.
# constant	fqn	signatureKey — sorted by fqn, then key.
ASSERT_EQUALS__ANY_MANY__ANY_MANY__FN_1	meta::pure::functions::asserts::assertEquals	meta::pure::functions::asserts::assertEquals(meta::pure::metamodel::type::Any[*],meta::pure::metamodel::type::Any[*],meta::pure::metamodel::function::Function<{->meta::pure::metamodel::type::String[1]}>[1])
ASSERT_EQUALS__ANY_MANY__ANY_MANY__STRING_1	meta::pure::functions::asserts::assertEquals	meta::pure::functions::asserts::assertEquals(meta::pure::metamodel::type::Any[*],meta::pure::metamodel::type::Any[*],meta::pure::metamodel::type::String[1])
ASSERT_EQUALS__ANY_MANY__ANY_MANY__STRING_1__ANY_MANY	meta::pure::functions::asserts::assertEquals	meta::pure::functions::asserts::assertEquals(meta::pure::metamodel::type::Any[*],meta::pure::metamodel::type::Any[*],meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::Any[*])
ASSERT_ERROR__MATCHER	meta::pure::functions::asserts::assertError	meta::pure::functions::asserts::assertError(meta::pure::metamodel::function::Function<{->meta::pure::metamodel::type::Any[*]}>[1],meta::pure::metamodel::function::Function<{meta::pure::metamodel::type::String[1],meta::pure::functions::meta::SourceInformation[0..1]->meta::pure::metamodel::type::Any[*]}>[1])
ASSERT_ERROR__FN_1__STRING_1	meta::pure::functions::asserts::assertError	meta::pure::functions::asserts::assertError(meta::pure::metamodel::function::Function<{->meta::pure::metamodel::type::Any[*]}>[1],meta::pure::metamodel::type::String[1])
ASSERT_ERROR__FN_1__STRING_1__INTEGER_01__INTEGER_01	meta::pure::functions::asserts::assertError	meta::pure::functions::asserts::assertError(meta::pure::metamodel::function::Function<{->meta::pure::metamodel::type::Any[*]}>[1],meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::Integer[0..1],meta::pure::metamodel::type::Integer[0..1])
ASSERT_FALSE__BOOLEAN_1	meta::pure::functions::asserts::assertFalse	meta::pure::functions::asserts::assertFalse(meta::pure::metamodel::type::Boolean[1])
ASSERT_FALSE__BOOLEAN_1__FN_1	meta::pure::functions::asserts::assertFalse	meta::pure::functions::asserts::assertFalse(meta::pure::metamodel::type::Boolean[1],meta::pure::metamodel::function::Function<{->meta::pure::metamodel::type::String[1]}>[1])
ASSERT_FALSE__BOOLEAN_1__STRING_1	meta::pure::functions::asserts::assertFalse	meta::pure::functions::asserts::assertFalse(meta::pure::metamodel::type::Boolean[1],meta::pure::metamodel::type::String[1])
ASSERT_FALSE__BOOLEAN_1__STRING_1__ANY_MANY	meta::pure::functions::asserts::assertFalse	meta::pure::functions::asserts::assertFalse(meta::pure::metamodel::type::Boolean[1],meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::Any[*])
ASSERT_INSTANCE_OF__ANY_1__TYPE_1	meta::pure::functions::asserts::assertInstanceOf	meta::pure::functions::asserts::assertInstanceOf(meta::pure::metamodel::type::Any[1],meta::pure::metamodel::type::Type[1])
ASSERT_INSTANCE_OF__ANY_1__TYPE_1__FN_1	meta::pure::functions::asserts::assertInstanceOf	meta::pure::functions::asserts::assertInstanceOf(meta::pure::metamodel::type::Any[1],meta::pure::metamodel::type::Type[1],meta::pure::metamodel::function::Function<{->meta::pure::metamodel::type::String[1]}>[1])
ASSERT_INSTANCE_OF__ANY_1__TYPE_1__STRING_1	meta::pure::functions::asserts::assertInstanceOf	meta::pure::functions::asserts::assertInstanceOf(meta::pure::metamodel::type::Any[1],meta::pure::metamodel::type::Type[1],meta::pure::metamodel::type::String[1])
ASSERT_INSTANCE_OF__ANY_1__TYPE_1__STRING_1__ANY_MANY	meta::pure::functions::asserts::assertInstanceOf	meta::pure::functions::asserts::assertInstanceOf(meta::pure::metamodel::type::Any[1],meta::pure::metamodel::type::Type[1],meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::Any[*])
ASSERT_IS__ANY_1__ANY_1	meta::pure::functions::asserts::assertIs	meta::pure::functions::asserts::assertIs(meta::pure::metamodel::type::Any[1],meta::pure::metamodel::type::Any[1])
ASSERT_IS__ANY_1__ANY_1__FN_1	meta::pure::functions::asserts::assertIs	meta::pure::functions::asserts::assertIs(meta::pure::metamodel::type::Any[1],meta::pure::metamodel::type::Any[1],meta::pure::metamodel::function::Function<{->meta::pure::metamodel::type::String[1]}>[1])
