# native-membership.tsv — the platform's implemented surface (upstream boundary program, batch 5).
# Membership is OURS; the signature text is generated from the pinned checkouts.
# constant	fqn	signatureKey — sorted by fqn, then key.
CAL_PW	meta::pure::functions::date::calendar::pw	meta::pure::functions::date::calendar::pw(meta::pure::metamodel::type::Date[0..1],meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::Date[1],meta::pure::metamodel::type::Number[0..1])
CAL_PW_FM	meta::pure::functions::date::calendar::pw_fm	meta::pure::functions::date::calendar::pw_fm(meta::pure::metamodel::type::Date[0..1],meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::Date[1],meta::pure::metamodel::type::Number[0..1])
CAL_PWA	meta::pure::functions::date::calendar::pwa	meta::pure::functions::date::calendar::pwa(meta::pure::metamodel::type::Date[0..1],meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::Date[1],meta::pure::metamodel::type::Number[0..1])
CAL_PWTD	meta::pure::functions::date::calendar::pwtd	meta::pure::functions::date::calendar::pwtd(meta::pure::metamodel::type::Date[0..1],meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::Date[1],meta::pure::metamodel::type::Number[0..1])
CAL_PYMTD	meta::pure::functions::date::calendar::pymtd	meta::pure::functions::date::calendar::pymtd(meta::pure::metamodel::type::Date[0..1],meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::Date[1],meta::pure::metamodel::type::Number[0..1])
CAL_PYQTD	meta::pure::functions::date::calendar::pyqtd	meta::pure::functions::date::calendar::pyqtd(meta::pure::metamodel::type::Date[0..1],meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::Date[1],meta::pure::metamodel::type::Number[0..1])
CAL_PYTD	meta::pure::functions::date::calendar::pytd	meta::pure::functions::date::calendar::pytd(meta::pure::metamodel::type::Date[0..1],meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::Date[1],meta::pure::metamodel::type::Number[0..1])
CAL_PYWA	meta::pure::functions::date::calendar::pywa	meta::pure::functions::date::calendar::pywa(meta::pure::metamodel::type::Date[0..1],meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::Date[1],meta::pure::metamodel::type::Number[0..1])
CAL_PYWTD	meta::pure::functions::date::calendar::pywtd	meta::pure::functions::date::calendar::pywtd(meta::pure::metamodel::type::Date[0..1],meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::Date[1],meta::pure::metamodel::type::Number[0..1])
CAL_QTD	meta::pure::functions::date::calendar::qtd	meta::pure::functions::date::calendar::qtd(meta::pure::metamodel::type::Date[0..1],meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::Date[1],meta::pure::metamodel::type::Number[0..1])
CAL_REPORT_END_DAY	meta::pure::functions::date::calendar::reportEndDay	meta::pure::functions::date::calendar::reportEndDay(meta::pure::metamodel::type::Date[0..1],meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::Date[1],meta::pure::metamodel::type::Number[0..1])
CAL_WTD	meta::pure::functions::date::calendar::wtd	meta::pure::functions::date::calendar::wtd(meta::pure::metamodel::type::Date[0..1],meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::Date[1],meta::pure::metamodel::type::Number[0..1])
CAL_YTD	meta::pure::functions::date::calendar::ytd	meta::pure::functions::date::calendar::ytd(meta::pure::metamodel::type::Date[0..1],meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::Date[1],meta::pure::metamodel::type::Number[0..1])
DATE__INTEGER_1	meta::pure::functions::date::date	meta::pure::functions::date::date(meta::pure::metamodel::type::Integer[1])
DATE__INTEGER_1__INTEGER_1	meta::pure::functions::date::date	meta::pure::functions::date::date(meta::pure::metamodel::type::Integer[1],meta::pure::metamodel::type::Integer[1])
DATE__INTEGER_1__INTEGER_1__INTEGER_1	meta::pure::functions::date::date	meta::pure::functions::date::date(meta::pure::metamodel::type::Integer[1],meta::pure::metamodel::type::Integer[1],meta::pure::metamodel::type::Integer[1])
DATE__INTEGER_1__INTEGER_1__INTEGER_1__INTEGER_1	meta::pure::functions::date::date	meta::pure::functions::date::date(meta::pure::metamodel::type::Integer[1],meta::pure::metamodel::type::Integer[1],meta::pure::metamodel::type::Integer[1],meta::pure::metamodel::type::Integer[1])
DATE__INTEGER_1__INTEGER_1__INTEGER_1__INTEGER_1__INTEGER_1	meta::pure::functions::date::date	meta::pure::functions::date::date(meta::pure::metamodel::type::Integer[1],meta::pure::metamodel::type::Integer[1],meta::pure::metamodel::type::Integer[1],meta::pure::metamodel::type::Integer[1],meta::pure::metamodel::type::Integer[1])
DATE__INTEGER_1__INTEGER_1__INTEGER_1__INTEGER_1__INTEGER_1__NUMBER_1	meta::pure::functions::date::date	meta::pure::functions::date::date(meta::pure::metamodel::type::Integer[1],meta::pure::metamodel::type::Integer[1],meta::pure::metamodel::type::Integer[1],meta::pure::metamodel::type::Integer[1],meta::pure::metamodel::type::Integer[1],meta::pure::metamodel::type::Number[1])
DATE_DIFF__DATE_0_1__DATE_0_1	meta::pure::functions::date::dateDiff	meta::pure::functions::date::dateDiff(meta::pure::metamodel::type::Date[0..1],meta::pure::metamodel::type::Date[0..1],meta::pure::functions::date::DurationUnit[1])
DATE_DIFF__DATE_1__DATE_1__DURATION_UNIT_1	meta::pure::functions::date::dateDiff	meta::pure::functions::date::dateDiff(meta::pure::metamodel::type::Date[1],meta::pure::metamodel::type::Date[1],meta::pure::functions::date::DurationUnit[1])
DATE_PART__DATE_0_1	meta::pure::functions::date::datePart	meta::pure::functions::date::datePart(meta::pure::metamodel::type::Date[0..1])
DATE_PART__DATE_1	meta::pure::functions::date::datePart	meta::pure::functions::date::datePart(meta::pure::metamodel::type::Date[1])
DAY_OF_MONTH__DATE_1	meta::pure::functions::date::dayOfMonth	meta::pure::functions::date::dayOfMonth(meta::pure::metamodel::type::Date[1])
DAY_OF_WEEK__DATE_1	meta::pure::functions::date::dayOfWeek	meta::pure::functions::date::dayOfWeek(meta::pure::metamodel::type::Date[1])
DAY_OF_WEEK_NUMBER__DATE_1	meta::pure::functions::date::dayOfWeekNumber	meta::pure::functions::date::dayOfWeekNumber(meta::pure::metamodel::type::Date[1])
DAY_OF_WEEK_NUMBER__DATE_1__DAY_OF_WEEK_1	meta::pure::functions::date::dayOfWeekNumber	meta::pure::functions::date::dayOfWeekNumber(meta::pure::metamodel::type::Date[1],meta::pure::functions::date::DayOfWeek[1])
DAY_OF_YEAR__DATE_1	meta::pure::functions::date::dayOfYear	meta::pure::functions::date::dayOfYear(meta::pure::metamodel::type::Date[1])
FIRST_DAY_OF_MONTH__DATE_1	meta::pure::functions::date::firstDayOfMonth	meta::pure::functions::date::firstDayOfMonth(meta::pure::metamodel::type::Date[1])
FIRST_DAY_OF_QUARTER__DATE_1	meta::pure::functions::date::firstDayOfQuarter	meta::pure::functions::date::firstDayOfQuarter(meta::pure::metamodel::type::Date[1])
FIRST_DAY_OF_THIS_MONTH	meta::pure::functions::date::firstDayOfThisMonth	meta::pure::functions::date::firstDayOfThisMonth()
FIRST_DAY_OF_THIS_QUARTER	meta::pure::functions::date::firstDayOfThisQuarter	meta::pure::functions::date::firstDayOfThisQuarter()
FIRST_DAY_OF_THIS_YEAR	meta::pure::functions::date::firstDayOfThisYear	meta::pure::functions::date::firstDayOfThisYear()
FIRST_DAY_OF_WEEK__DATE_1	meta::pure::functions::date::firstDayOfWeek	meta::pure::functions::date::firstDayOfWeek(meta::pure::metamodel::type::Date[1])
FIRST_DAY_OF_YEAR__DATE_1	meta::pure::functions::date::firstDayOfYear	meta::pure::functions::date::firstDayOfYear(meta::pure::metamodel::type::Date[1])
FIRST_HOUR_OF_DAY__DATE_1	meta::pure::functions::date::firstHourOfDay	meta::pure::functions::date::firstHourOfDay(meta::pure::metamodel::type::Date[1])
FIRST_MILLISECOND_OF_SECOND__DATE_1	meta::pure::functions::date::firstMillisecondOfSecond	meta::pure::functions::date::firstMillisecondOfSecond(meta::pure::metamodel::type::Date[1])
FIRST_MINUTE_OF_HOUR__DATE_1	meta::pure::functions::date::firstMinuteOfHour	meta::pure::functions::date::firstMinuteOfHour(meta::pure::metamodel::type::Date[1])
FIRST_SECOND_OF_MINUTE__DATE_1	meta::pure::functions::date::firstSecondOfMinute	meta::pure::functions::date::firstSecondOfMinute(meta::pure::metamodel::type::Date[1])
FORMAT_DATE__DATE_TIME	meta::pure::functions::date::formatDate	meta::pure::functions::date::formatDate(meta::pure::metamodel::type::DateTime[1],meta::pure::functions::date::DateTimeFormat[1])
FORMAT_DATE__STRICT_DATE	meta::pure::functions::date::formatDate	meta::pure::functions::date::formatDate(meta::pure::metamodel::type::StrictDate[1],meta::pure::functions::date::StrictDateFormat[1])
FROM_EPOCH_VALUE__INTEGER_1	meta::pure::functions::date::fromEpochValue	meta::pure::functions::date::fromEpochValue(meta::pure::metamodel::type::Integer[1])
FROM_EPOCH_VALUE__INTEGER_1__DURATION_UNIT_1	meta::pure::functions::date::fromEpochValue	meta::pure::functions::date::fromEpochValue(meta::pure::metamodel::type::Integer[1],meta::pure::functions::date::DurationUnit[1])
HAS_DAY__DATE_1	meta::pure::functions::date::hasDay	meta::pure::functions::date::hasDay(meta::pure::metamodel::type::Date[1])
HAS_HOUR__DATE_1	meta::pure::functions::date::hasHour	meta::pure::functions::date::hasHour(meta::pure::metamodel::type::Date[1])
HAS_MINUTE__DATE_1	meta::pure::functions::date::hasMinute	meta::pure::functions::date::hasMinute(meta::pure::metamodel::type::Date[1])
HAS_MONTH__DATE_1	meta::pure::functions::date::hasMonth	meta::pure::functions::date::hasMonth(meta::pure::metamodel::type::Date[1])
HAS_SECOND__DATE_1	meta::pure::functions::date::hasSecond	meta::pure::functions::date::hasSecond(meta::pure::metamodel::type::Date[1])
HAS_SUBSECOND__DATE_1	meta::pure::functions::date::hasSubsecond	meta::pure::functions::date::hasSubsecond(meta::pure::metamodel::type::Date[1])
HAS_SUBSECOND_WITH_AT_LEAST_PRECISION__DATE_1__INTEGER_1	meta::pure::functions::date::hasSubsecondWithAtLeastPrecision	meta::pure::functions::date::hasSubsecondWithAtLeastPrecision(meta::pure::metamodel::type::Date[1],meta::pure::metamodel::type::Integer[1])
HOUR__DATE_1	meta::pure::functions::date::hour	meta::pure::functions::date::hour(meta::pure::metamodel::type::Date[1])
IS_AFTER_DAY__DATE_1__DATE_1	meta::pure::functions::date::isAfterDay	meta::pure::functions::date::isAfterDay(meta::pure::metamodel::type::Date[1],meta::pure::metamodel::type::Date[1])
IS_BEFORE_DAY__DATE_1__DATE_1	meta::pure::functions::date::isBeforeDay	meta::pure::functions::date::isBeforeDay(meta::pure::metamodel::type::Date[1],meta::pure::metamodel::type::Date[1])
IS_ON_DAY__DATE_1__DATE_1	meta::pure::functions::date::isOnDay	meta::pure::functions::date::isOnDay(meta::pure::metamodel::type::Date[1],meta::pure::metamodel::type::Date[1])
IS_ON_OR_AFTER_DAY__DATE_1__DATE_1	meta::pure::functions::date::isOnOrAfterDay	meta::pure::functions::date::isOnOrAfterDay(meta::pure::metamodel::type::Date[1],meta::pure::metamodel::type::Date[1])
IS_ON_OR_BEFORE_DAY__DATE_1__DATE_1	meta::pure::functions::date::isOnOrBeforeDay	meta::pure::functions::date::isOnOrBeforeDay(meta::pure::metamodel::type::Date[1],meta::pure::metamodel::type::Date[1])
MAX__DATE_TIME_MANY	meta::pure::functions::date::max	meta::pure::functions::date::max(meta::pure::metamodel::type::DateTime[*])
MAX__DATE_TIME_1__DATE_TIME_1	meta::pure::functions::date::max	meta::pure::functions::date::max(meta::pure::metamodel::type::DateTime[1],meta::pure::metamodel::type::DateTime[1])
MAX__DATE_MANY	meta::pure::functions::date::max	meta::pure::functions::date::max(meta::pure::metamodel::type::Date[*])
MAX__DATE_1__DATE_1	meta::pure::functions::date::max	meta::pure::functions::date::max(meta::pure::metamodel::type::Date[1],meta::pure::metamodel::type::Date[1])
MAX__STRICT_DATE_MANY	meta::pure::functions::date::max	meta::pure::functions::date::max(meta::pure::metamodel::type::StrictDate[*])
MAX__STRICT_DATE_1__STRICT_DATE_1	meta::pure::functions::date::max	meta::pure::functions::date::max(meta::pure::metamodel::type::StrictDate[1],meta::pure::metamodel::type::StrictDate[1])
MIN__DATE_TIME_MANY	meta::pure::functions::date::min	meta::pure::functions::date::min(meta::pure::metamodel::type::DateTime[*])
MIN__DATE_TIME_1__DATE_TIME_1	meta::pure::functions::date::min	meta::pure::functions::date::min(meta::pure::metamodel::type::DateTime[1],meta::pure::metamodel::type::DateTime[1])
MIN__DATE_MANY	meta::pure::functions::date::min	meta::pure::functions::date::min(meta::pure::metamodel::type::Date[*])
MIN__DATE_1__DATE_1	meta::pure::functions::date::min	meta::pure::functions::date::min(meta::pure::metamodel::type::Date[1],meta::pure::metamodel::type::Date[1])
MIN__STRICT_DATE_MANY	meta::pure::functions::date::min	meta::pure::functions::date::min(meta::pure::metamodel::type::StrictDate[*])
MIN__STRICT_DATE_1__STRICT_DATE_1	meta::pure::functions::date::min	meta::pure::functions::date::min(meta::pure::metamodel::type::StrictDate[1],meta::pure::metamodel::type::StrictDate[1])
MINUTE__DATE_1	meta::pure::functions::date::minute	meta::pure::functions::date::minute(meta::pure::metamodel::type::Date[1])
MONTH__DATE_1	meta::pure::functions::date::month	meta::pure::functions::date::month(meta::pure::metamodel::type::Date[1])
MONTH_NUMBER__DATE_0_1	meta::pure::functions::date::monthNumber	meta::pure::functions::date::monthNumber(meta::pure::metamodel::type::Date[0..1])
MONTH_NUMBER__DATE_1	meta::pure::functions::date::monthNumber	meta::pure::functions::date::monthNumber(meta::pure::metamodel::type::Date[1])
MOST_RECENT_DAY_OF_WEEK__DAY_1	meta::pure::functions::date::mostRecentDayOfWeek	meta::pure::functions::date::mostRecentDayOfWeek(meta::pure::functions::date::DayOfWeek[1])
MOST_RECENT_DAY_OF_WEEK__DATE_1__DAY_1	meta::pure::functions::date::mostRecentDayOfWeek	meta::pure::functions::date::mostRecentDayOfWeek(meta::pure::metamodel::type::Date[1],meta::pure::functions::date::DayOfWeek[1])
NOW	meta::pure::functions::date::now	meta::pure::functions::date::now()
PREVIOUS_DAY_OF_WEEK__DAY_1	meta::pure::functions::date::previousDayOfWeek	meta::pure::functions::date::previousDayOfWeek(meta::pure::functions::date::DayOfWeek[1])
PREVIOUS_DAY_OF_WEEK__DATE_1__DAY_1	meta::pure::functions::date::previousDayOfWeek	meta::pure::functions::date::previousDayOfWeek(meta::pure::metamodel::type::Date[1],meta::pure::functions::date::DayOfWeek[1])
QUARTER__DATE_1	meta::pure::functions::date::quarter	meta::pure::functions::date::quarter(meta::pure::metamodel::type::Date[1])
QUARTER_NUMBER__DATE_1	meta::pure::functions::date::quarterNumber	meta::pure::functions::date::quarterNumber(meta::pure::metamodel::type::Date[1])
SECOND__DATE_1	meta::pure::functions::date::second	meta::pure::functions::date::second(meta::pure::metamodel::type::Date[1])
TIME_BUCKET__DATETIME_1__INTEGER_1__DURATION_UNIT_1	meta::pure::functions::date::timeBucket	meta::pure::functions::date::timeBucket(meta::pure::metamodel::type::DateTime[1],meta::pure::metamodel::type::Integer[1],meta::pure::functions::date::DurationUnit[1])
TIME_BUCKET__STRICTDATE_1__INTEGER_1__DURATION_UNIT_1	meta::pure::functions::date::timeBucket	meta::pure::functions::date::timeBucket(meta::pure::metamodel::type::StrictDate[1],meta::pure::metamodel::type::Integer[1],meta::pure::functions::date::DurationUnit[1])
TO_EPOCH_VALUE__DATE_1	meta::pure::functions::date::toEpochValue	meta::pure::functions::date::toEpochValue(meta::pure::metamodel::type::Date[1])
TO_EPOCH_VALUE__DATE_1__DURATION_UNIT_1	meta::pure::functions::date::toEpochValue	meta::pure::functions::date::toEpochValue(meta::pure::metamodel::type::Date[1],meta::pure::functions::date::DurationUnit[1])
TODAY	meta::pure::functions::date::today	meta::pure::functions::date::today()
WEEK_OF_YEAR__DATE_0_1	meta::pure::functions::date::weekOfYear	meta::pure::functions::date::weekOfYear(meta::pure::metamodel::type::Date[0..1])
WEEK_OF_YEAR__DATE_1	meta::pure::functions::date::weekOfYear	meta::pure::functions::date::weekOfYear(meta::pure::metamodel::type::Date[1])
YEAR__DATE_0_1	meta::pure::functions::date::year	meta::pure::functions::date::year(meta::pure::metamodel::type::Date[0..1])
YEAR__DATE_1	meta::pure::functions::date::year	meta::pure::functions::date::year(meta::pure::metamodel::type::Date[1])
COALESCE__T_0_1__T_0_1	meta::pure::functions::flow::coalesce	meta::pure::functions::flow::coalesce(T[0..1],T[0..1])
COALESCE__T_0_1__T_0_1__T_0_1	meta::pure::functions::flow::coalesce	meta::pure::functions::flow::coalesce(T[0..1],T[0..1],T[0..1])
COALESCE__T_0_1__T_0_1__T_0_1__T_0_1	meta::pure::functions::flow::coalesce	meta::pure::functions::flow::coalesce(T[0..1],T[0..1],T[0..1],T[0..1])
COALESCE__T_0_1__T_0_1__T_0_1__T_1	meta::pure::functions::flow::coalesce	meta::pure::functions::flow::coalesce(T[0..1],T[0..1],T[0..1],T[1])
COALESCE__T_0_1__T_0_1__T_1	meta::pure::functions::flow::coalesce	meta::pure::functions::flow::coalesce(T[0..1],T[0..1],T[1])
COALESCE__T_0_1__T_1	meta::pure::functions::flow::coalesce	meta::pure::functions::flow::coalesce(T[0..1],T[1])
HASH__STRING_1__HASH_TYPE_1	meta::pure::functions::hash::hash	meta::pure::functions::hash::hash(meta::pure::metamodel::type::String[1],meta::pure::functions::hash::HashType[1])
HASH_CODE__ANY_MANY	meta::pure::functions::hash::hashCode	meta::pure::functions::hash::hashCode(meta::pure::metamodel::type::Any[*])
EXECUTE_HTTP_RAW__URL_1__METHOD_1__STRING_01__STRING_01	meta::pure::functions::io::http::executeHTTPRaw	meta::pure::functions::io::http::executeHTTPRaw(meta::pure::functions::io::http::URL[1],meta::pure::functions::io::http::HTTPMethod[1],meta::pure::metamodel::type::String[0..1],meta::pure::metamodel::type::String[0..1])
PRINT__ANY_M	meta::pure::functions::io::print	meta::pure::functions::io::print(meta::pure::metamodel::type::Any[*])
PRINT__ANY_M__INTEGER_1	meta::pure::functions::io::print	meta::pure::functions::io::print(meta::pure::metamodel::type::Any[*],meta::pure::metamodel::type::Integer[1])
PRINTLN__ANY_M	meta::pure::functions::io::println	meta::pure::functions::io::println(meta::pure::metamodel::type::Any[*])
PRINTLN__ANY_M__INTEGER_1	meta::pure::functions::io::println	meta::pure::functions::io::println(meta::pure::metamodel::type::Any[*],meta::pure::metamodel::type::Integer[1])
CAST__ANY_m__T_1	meta::pure::functions::lang::cast	meta::pure::functions::lang::cast(meta::pure::metamodel::type::Any[m],T[1])
COMPARE__T_1__T_1	meta::pure::functions::lang::compare	meta::pure::functions::lang::compare(T[1],T[1])
DYNAMIC_NEW__CLASS_1__KEYVALUE_MANY	meta::pure::functions::lang::dynamicNew	meta::pure::functions::lang::dynamicNew(meta::pure::metamodel::type::Class<meta::pure::metamodel::type::Any>[1],meta::pure::functions::lang::KeyValue[*])
DYNAMIC_NEW__CLASS_5	meta::pure::functions::lang::dynamicNew	meta::pure::functions::lang::dynamicNew(meta::pure::metamodel::type::Class<meta::pure::metamodel::type::Any>[1],meta::pure::functions::lang::KeyValue[*],meta::pure::metamodel::function::Function<{meta::pure::metamodel::type::Any[1],meta::pure::metamodel::function::property::Property<meta::pure::metamodel::type::Nil, meta::pure::metamodel::type::Any|0..1>[1]->meta::pure::metamodel::type::Any[0..1]}>[0..1],meta::pure::metamodel::function::Function<{meta::pure::metamodel::type::Any[1],meta::pure::metamodel::function::property::Property<meta::pure::metamodel::type::Nil, meta::pure::metamodel::type::Any|*>[1]->meta::pure::metamodel::type::Any[*]}>[0..1],meta::pure::metamodel::type::Any[0..1])
DYNAMIC_NEW__CLASS_6	meta::pure::functions::lang::dynamicNew	meta::pure::functions::lang::dynamicNew(meta::pure::metamodel::type::Class<meta::pure::metamodel::type::Any>[1],meta::pure::functions::lang::KeyValue[*],meta::pure::metamodel::function::Function<{meta::pure::metamodel::type::Any[1],meta::pure::metamodel::function::property::Property<meta::pure::metamodel::type::Nil, meta::pure::metamodel::type::Any|0..1>[1]->meta::pure::metamodel::type::Any[0..1]}>[0..1],meta::pure::metamodel::function::Function<{meta::pure::metamodel::type::Any[1],meta::pure::metamodel::function::property::Property<meta::pure::metamodel::type::Nil, meta::pure::metamodel::type::Any|*>[1]->meta::pure::metamodel::type::Any[*]}>[0..1],meta::pure::metamodel::type::Any[0..1],meta::pure::metamodel::function::Function<{meta::pure::metamodel::type::Any[1]->meta::pure::metamodel::type::Any[1]}>[0..1])
DYNAMIC_NEW__GENERICTYPE_1__KEYVALUE_MANY	meta::pure::functions::lang::dynamicNew	meta::pure::functions::lang::dynamicNew(meta::pure::metamodel::type::generics::GenericType[1],meta::pure::functions::lang::KeyValue[*])
DYNAMIC_NEW__GENERIC_5	meta::pure::functions::lang::dynamicNew	meta::pure::functions::lang::dynamicNew(meta::pure::metamodel::type::generics::GenericType[1],meta::pure::functions::lang::KeyValue[*],meta::pure::metamodel::function::Function<{meta::pure::metamodel::type::Any[1],meta::pure::metamodel::function::property::Property<meta::pure::metamodel::type::Nil, meta::pure::metamodel::type::Any|0..1>[1]->meta::pure::metamodel::type::Any[0..1]}>[0..1],meta::pure::metamodel::function::Function<{meta::pure::metamodel::type::Any[1],meta::pure::metamodel::function::property::Property<meta::pure::metamodel::type::Nil, meta::pure::metamodel::type::Any|*>[1]->meta::pure::metamodel::type::Any[*]}>[0..1],meta::pure::metamodel::type::Any[0..1])
DYNAMIC_NEW__GENERIC_6	meta::pure::functions::lang::dynamicNew	meta::pure::functions::lang::dynamicNew(meta::pure::metamodel::type::generics::GenericType[1],meta::pure::functions::lang::KeyValue[*],meta::pure::metamodel::function::Function<{meta::pure::metamodel::type::Any[1],meta::pure::metamodel::function::property::Property<meta::pure::metamodel::type::Nil, meta::pure::metamodel::type::Any|0..1>[1]->meta::pure::metamodel::type::Any[0..1]}>[0..1],meta::pure::metamodel::function::Function<{meta::pure::metamodel::type::Any[1],meta::pure::metamodel::function::property::Property<meta::pure::metamodel::type::Nil, meta::pure::metamodel::type::Any|*>[1]->meta::pure::metamodel::type::Any[*]}>[0..1],meta::pure::metamodel::type::Any[0..1],meta::pure::metamodel::function::Function<{meta::pure::metamodel::type::Any[1]->meta::pure::metamodel::type::Any[1]}>[0..1])
EVAL__FUNCTION_1	meta::pure::functions::lang::eval	meta::pure::functions::lang::eval(meta::pure::metamodel::function::Function<{->V[m]}>[1])
EVAL__FUNCTION_1__6	meta::pure::functions::lang::eval	meta::pure::functions::lang::eval(meta::pure::metamodel::function::Function<{T[n],U[p],W[q],X[r],Y[s],Z[t]->V[m]}>[1],T[n],U[p],W[q],X[r],Y[s],Z[t])
EVAL__FUNCTION_1__5	meta::pure::functions::lang::eval	meta::pure::functions::lang::eval(meta::pure::metamodel::function::Function<{T[n],U[p],W[q],X[r],Y[s]->V[m]}>[1],T[n],U[p],W[q],X[r],Y[s])
EVAL__FUNCTION_1__4	meta::pure::functions::lang::eval	meta::pure::functions::lang::eval(meta::pure::metamodel::function::Function<{T[n],U[p],W[q],X[r]->V[m]}>[1],T[n],U[p],W[q],X[r])
EVAL__FUNCTION_1__T_n__U_p__W_q	meta::pure::functions::lang::eval	meta::pure::functions::lang::eval(meta::pure::metamodel::function::Function<{T[n],U[p],W[q]->V[m]}>[1],T[n],U[p],W[q])
EVAL__FUNCTION_1__T_n__U_p	meta::pure::functions::lang::eval	meta::pure::functions::lang::eval(meta::pure::metamodel::function::Function<{T[n],U[p]->V[m]}>[1],T[n],U[p])
EVAL__FUNCTION_1__T_n	meta::pure::functions::lang::eval	meta::pure::functions::lang::eval(meta::pure::metamodel::function::Function<{T[n]->V[m]}>[1],T[n])
EXTRACT_ENUM_VALUE__OPTIONAL	meta::pure::functions::lang::extractEnumValue	meta::pure::functions::lang::extractEnumValue(meta::pure::metamodel::type::Enumeration<T>[1],meta::pure::metamodel::type::String[0..1])
EXTRACT_ENUM_VALUE	meta::pure::functions::lang::extractEnumValue	meta::pure::functions::lang::extractEnumValue(meta::pure::metamodel::type::Enumeration<T>[1],meta::pure::metamodel::type::String[1])
IF__PAIR_MANY__FUNCTION_1	meta::pure::functions::lang::if	meta::pure::functions::lang::if(meta::pure::functions::collection::Pair<meta::pure::metamodel::function::Function<{->meta::pure::metamodel::type::Boolean[1]}>, meta::pure::metamodel::function::Function<{->T[m]}>>[*],meta::pure::metamodel::function::Function<{->T[m]}>[1])
IF__BOOLEAN_1__FUNCTION_1__FUNCTION_1	meta::pure::functions::lang::if	meta::pure::functions::lang::if(meta::pure::metamodel::type::Boolean[1],meta::pure::metamodel::function::Function<{->T[m]}>[1],meta::pure::metamodel::function::Function<{->T[m]}>[1])
LET_FUNCTION__STRING_1__T_m	meta::pure::functions::lang::letFunction	meta::pure::functions::lang::letFunction(meta::pure::metamodel::type::String[1],T[m])
MATCH__ANY_MANY__FUNCTION_1_MANY__P_o	meta::pure::functions::lang::match	meta::pure::functions::lang::match(meta::pure::metamodel::type::Any[*],meta::pure::metamodel::function::Function<{meta::pure::metamodel::type::Nil[n],P[o]->T[m]}>[1..*],P[o])
MATCH__ANY_MANY__FUNCTION_1_MANY	meta::pure::functions::lang::match	meta::pure::functions::lang::match(meta::pure::metamodel::type::Any[*],meta::pure::metamodel::function::Function<{meta::pure::metamodel::type::Nil[n]->T[m]}>[1..*])
MUTATE_ADD__T_1__STRING_1__ANY_MANY	meta::pure::functions::lang::mutateAdd	meta::pure::functions::lang::mutateAdd(T[1],meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::Any[*])
SUB_TYPE__ANY_m__T_1	meta::pure::functions::lang::subType	meta::pure::functions::lang::subType(meta::pure::metamodel::type::Any[m],T[1])
TO_MULTIPLICITY__T_MANY__ANY_Z	meta::pure::functions::lang::toMultiplicity	meta::pure::functions::lang::toMultiplicity(T[*],meta::pure::metamodel::type::Any[z])
WHEN_SUB_TYPE__ANY_MANY__T_1	meta::pure::functions::lang::whenSubType	meta::pure::functions::lang::whenSubType(meta::pure::metamodel::type::Any[*],T[1])
WHEN_SUB_TYPE__ANY_01__T_1	meta::pure::functions::lang::whenSubType	meta::pure::functions::lang::whenSubType(meta::pure::metamodel::type::Any[0..1],T[1])
WHEN_SUB_TYPE__ANY_1__T_1	meta::pure::functions::lang::whenSubType	meta::pure::functions::lang::whenSubType(meta::pure::metamodel::type::Any[1],T[1])
ABS__DECIMAL_1	meta::pure::functions::math::abs	meta::pure::functions::math::abs(meta::pure::metamodel::type::Decimal[1])
ABS__FLOAT_1	meta::pure::functions::math::abs	meta::pure::functions::math::abs(meta::pure::metamodel::type::Float[1])
ABS__INTEGER_1	meta::pure::functions::math::abs	meta::pure::functions::math::abs(meta::pure::metamodel::type::Integer[1])
ABS__NUMBER_1	meta::pure::functions::math::abs	meta::pure::functions::math::abs(meta::pure::metamodel::type::Number[1])
ACOS__NUMBER_1	meta::pure::functions::math::acos	meta::pure::functions::math::acos(meta::pure::metamodel::type::Number[1])
ASIN__NUMBER_1	meta::pure::functions::math::asin	meta::pure::functions::math::asin(meta::pure::metamodel::type::Number[1])
ATAN__NUMBER_1	meta::pure::functions::math::atan	meta::pure::functions::math::atan(meta::pure::metamodel::type::Number[1])
ATAN2__NUMBER_1__NUMBER_1	meta::pure::functions::math::atan2	meta::pure::functions::math::atan2(meta::pure::metamodel::type::Number[1],meta::pure::metamodel::type::Number[1])
AVERAGE__RELATION_1__WINDOW_1__T_1__COL_SPEC_1	meta::pure::functions::math::average	meta::pure::functions::math::average(meta::pure::metamodel::relation::Relation<T>[1],meta::pure::functions::relation::_Window<T>[1],T[1],meta::pure::metamodel::relation::ColSpec<(?:meta::pure::metamodel::type::Number)⊆T>[1])
