# PROTOCOL-TYPE ROSTER — every @JsonSubTypes tag the pinned engine's protocol jars declare (+ the extension registry),
# COVERED when a source in the engine corpus, the fixtures or our own test snippets reaches it (ProtocolRosterCensusTest).
# THE LEDGER IS THIS FILE: a bump that adds or removes a tag, or moves a tag between COVERED and UNCOVERED, is a reviewed diff. Regenerate: -Droster.generate=1.
apiKey	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.store.service.model.ApiKeySecurityScheme	UNCOVERED
apiToken	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.store.relational.connection.authentication.ApiTokenAuthenticationStrategy	COVERED
appendOnly	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.persistence.persister.ingestmode.appendonly.AppendOnly	COVERED
argumentExpression	org.finos.legend.engine.protocol.mongodb.schema.metamodel.aggregation.ArgumentExpression	UNCOVERED
arithmeticExpression	org.finos.legend.engine.protocol.sql.metamodel.ArithmeticExpression	UNCOVERED
arrayLiteral	org.finos.legend.engine.protocol.sql.metamodel.ArrayLiteral	UNCOVERED
arraySliceExpression	org.finos.legend.engine.protocol.sql.metamodel.ArraySliceExpression	UNCOVERED
arrayType	org.finos.legend.engine.protocol.mongodb.schema.metamodel.ArrayType	COVERED
arrayTypeValue	org.finos.legend.engine.protocol.mongodb.schema.metamodel.aggregation.ArrayTypeValue	UNCOVERED
asciiFoldingTokenFilter	org.finos.legend.engine.protocol.store.elasticsearch.v7.specification.types.analysis.AsciiFoldingTokenFilter	UNCOVERED
assertFail	org.finos.legend.engine.protocol.pure.v1.model.test.assertion.status.AssertFail	UNCOVERED
assertPass	org.finos.legend.engine.protocol.pure.v1.model.test.assertion.status.AssertPass	UNCOVERED
association	org.finos.legend.engine.protocol.pure.m3.relationship.Association	COVERED
auditingDateTime	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.persistence.relational.temporality.auditing.AuditingDateTime	COVERED
authenticationDemo	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.authentication.demo.AuthenticationDemo	UNCOVERED
autoDateHistogramAggregate	org.finos.legend.engine.protocol.store.elasticsearch.v7.specification.types.aggregations.AutoDateHistogramAggregate	UNCOVERED
autoDateHistogramAggregation	org.finos.legend.engine.protocol.store.elasticsearch.v7.specification.types.aggregations.AutoDateHistogramAggregation	UNCOVERED
averageAggregation	org.finos.legend.engine.protocol.store.elasticsearch.v7.specification.types.aggregations.AverageAggregation	UNCOVERED
averageBucketAggregation	org.finos.legend.engine.protocol.store.elasticsearch.v7.specification.types.aggregations.AverageBucketAggregation	UNCOVERED
avgAggregate	org.finos.legend.engine.protocol.store.elasticsearch.v7.specification.types.aggregations.AvgAggregate	UNCOVERED
awsDefault	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.authentication.vault.aws.AWSDefaultCredentials	UNCOVERED
awsGlue	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.persistence.cloud.context.AwsGluePersistencePlatform	COVERED
awsSTSAssumeRole	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.authentication.vault.aws.AWSSTSAssumeRoleCredentials	UNCOVERED
awsStatic	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.authentication.vault.aws.AWSStaticCredentials	UNCOVERED
awssecretsmanager	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.authentication.vault.aws.AWSSecretsManagerSecret	UNCOVERED
baseDataResolver	org.finos.legend.engine.protocol.pure.v1.model.data.BaseDataResolver	COVERED
batchId	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.persistence.relational.temporality.processing.BatchId	COVERED
batchIdAndDateTimeTransactionMilestoning	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.persistence.persister.transactionmilestoning.BatchIdAndDateTimeTransactionMilestoning	COVERED
batchIdAndProcessingTime	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.persistence.relational.temporality.processing.BatchIdAndDateTime	COVERED
batchIdTransactionMilestoning	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.persistence.persister.transactionmilestoning.BatchIdTransactionMilestoning	COVERED
batchPersister	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.persistence.persister.BatchPersister	COVERED
betweenPredicate	org.finos.legend.engine.protocol.sql.metamodel.BetweenPredicate	UNCOVERED
bigQuery	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.store.relational.connection.specification.BigQueryDatasourceSpecification	COVERED
bigQueryFunction	org.finos.legend.engine.protocol.bigqueryFunction.metamodel.BigQueryFunction	COVERED
bigQueryFunctionArtifact	org.finos.legend.engine.protocol.bigqueryFunction.deployment.BigQueryFunctionArtifact	UNCOVERED
bigQueryFunctionConfig	org.finos.legend.engine.protocol.bigqueryFunction.metamodel.BigQueryFunctionDeploymentConfiguration	COVERED
bigQueryFunctionDeploymentConfig	org.finos.legend.engine.protocol.bigqueryFunction.deployment.BigQueryFunctionDeploymentConfiguration	UNCOVERED
bigQueryFunctionDeploymentContent	org.finos.legend.engine.protocol.bigqueryFunction.deployment.BigQueryFunctionContent	UNCOVERED
binaryProperty	org.finos.legend.engine.protocol.store.elasticsearch.v7.specification.types.mapping.BinaryProperty	UNCOVERED
binaryType	org.finos.legend.engine.protocol.mongodb.schema.metamodel.BinaryType	UNCOVERED
binding	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.externalFormat.Binding	COVERED
bitAndOperation	org.finos.legend.engine.protocol.deephaven.metamodel.BitAndOperation	UNCOVERED
bitNotOperation	org.finos.legend.engine.protocol.deephaven.metamodel.BitNotOperation	UNCOVERED
bitOrOperation	org.finos.legend.engine.protocol.deephaven.metamodel.BitOrOperation	UNCOVERED
bitShiftLeftOperation	org.finos.legend.engine.protocol.deephaven.metamodel.BitShiftLeftOperation	UNCOVERED
bitShiftRightOperation	org.finos.legend.engine.protocol.deephaven.metamodel.BitShiftRightOperation	UNCOVERED
bitXorOperation	org.finos.legend.engine.protocol.deephaven.metamodel.BitXorOperation	UNCOVERED
bitemporalDelta	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.persistence.persister.ingestmode.delta.BitemporalDelta	COVERED
bitemporalSnapshot	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.persistence.persister.ingestmode.snapshot.BitemporalSnapshot	COVERED
bitemporalTemporality	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.persistence.relational.temporality.Bitemporal	COVERED
bitwiseBinaryExpression	org.finos.legend.engine.protocol.sql.metamodel.BitwiseBinaryExpression	UNCOVERED
bitwiseShiftExpression	org.finos.legend.engine.protocol.sql.metamodel.BitwiseShiftExpression	UNCOVERED
blockLiteral	org.finos.legend.engine.protocol.protobuf3.metamodel.BlockLiteral	UNCOVERED
bool	org.finos.legend.engine.protocol.protobuf3.metamodel.Bool	UNCOVERED
boolLiteral	org.finos.legend.engine.protocol.protobuf3.metamodel.BoolLiteral	UNCOVERED
boolQuery	org.finos.legend.engine.protocol.store.elasticsearch.v7.specification.types.querydsl.BoolQuery	UNCOVERED
boolType	org.finos.legend.engine.protocol.mongodb.schema.metamodel.BoolType	UNCOVERED
boolTypeValue	org.finos.legend.engine.protocol.mongodb.schema.metamodel.aggregation.BoolTypeValue	UNCOVERED
boolean	org.finos.legend.engine.protocol.pure.m3.valuespecification.constant.datatype.primitive.CBoolean	COVERED
booleanLiteral	org.finos.legend.engine.protocol.sql.metamodel.BooleanLiteral	UNCOVERED
booleanProperty	org.finos.legend.engine.protocol.store.elasticsearch.v7.specification.types.mapping.BooleanProperty	UNCOVERED
booleanType	org.finos.legend.engine.protocol.deephaven.metamodel.type.BooleanType	COVERED
booleanValue	org.finos.legend.engine.protocol.graphQL.metamodel.value.BooleanValue	UNCOVERED
boostingQuery	org.finos.legend.engine.protocol.store.elasticsearch.v7.specification.types.querydsl.BoostingQuery	UNCOVERED
boxPlotAggregate	org.finos.legend.engine.protocol.store.elasticsearch.v7.specification.types.aggregations.BoxPlotAggregate	UNCOVERED
boxplotAggregation	org.finos.legend.engine.protocol.store.elasticsearch.v7.specification.types.aggregations.BoxplotAggregation	UNCOVERED
bsonType	org.finos.legend.engine.protocol.mongodb.schema.metamodel.BsonType	UNCOVERED
bucketAggregationBase	org.finos.legend.engine.protocol.store.elasticsearch.v7.specification.types.aggregations.BucketAggregationBase	UNCOVERED
